from,to,distance
1,8,516
1,7,516
2,8,516
2,7,516
1,3,606
1,4,606
2,3,606
2,4,606
3,6,834
3,5,834
4,6,834
4,5,834
6,8,744
6,7,744
5,8,744
5,7,744
6,9,423
6,10,423
5,9,423
5,10,423
9,12,702
9,11,702
10,12,702
10,11,702
12,28,740
12,27,740
11,28,740
11,27,740
28,8,617
28,7,617
27,8,617
27,7,617
6,23,745
6,24,745
5,23,745
5,24,745
23,9,580
23,10,580
24,9,580
24,10,580
3,21,1638
3,22,1638
4,21,1638
4,22,1638
21,19,1610
21,20,1610
22,19,1610
22,20,1610
19,23,963
19,24,963
20,23,963
20,24,963
19,14,884
19,13,884
20,14,884
20,13,884
14,23,823
14,24,823
13,23,823
13,24,823
25,21,1349
25,22,1349
26,21,1349
26,22,1349
25,29,818
25,30,818
26,29,818
26,30,818
29,17,1354
29,18,1354
30,17,1354
30,18,1354
17,14,1159
17,13,1159
18,14,1159
18,13,1159
14,15,1130
14,16,1130
13,15,1130
13,16,1130
15,17,1545
15,18,1545
16,17,1545
16,18,1545
15,29,1325
15,30,1325
16,29,1325
16,30,1325
