from,to,distance(km)
ATLAM5,ATLAng,132.41
ATLAM5,CHINng,941.1
ATLAM5,DNVRng,1981.02
ATLAM5,HSTNng,1142.57
ATLAM5,IPLSng,687.73
ATLAM5,KSCYng,1237.9
ATLAM5,LOSAng,3118.08
ATLAM5,NYCMng,1207.97
ATLAM5,SNVAng,3413.5
ATLAM5,STTLng,3509.74
ATLAng,ATLAM5,132.41
ATLAng,CHINng,834.78
ATLAng,DNVRng,1850.83
ATLAng,HSTNng,1080.15
ATLAng,IPLSng,588.96
ATLAng,KSCYng,1106.89
ATLAng,LOSAng,3002.91
ATLAng,NYCMng,1232.18
ATLAng,SNVAng,3290.64
ATLAng,STTLng,3377.39
CHINng,ATLAng,941.1
CHINng,ATLAM5,834.78
CHINng,DNVRng,1458.54
CHINng,HSTNng,1515.4
CHINng,IPLSng,258.99
CHINng,KSCYng,825.83
CHINng,LOSAng,2810.57
CHINng,NYCMng,1147.78
CHINng,SNVAng,2975.53
CHINng,STTLng,2796.8
DNVRng,CHINng,1981.02
DNVRng,ATLAng,1850.83
DNVRng,ATLAM5,1458.54
DNVRng,HSTNng,1490.74
DNVRng,IPLSng,1603.14
DNVRng,KSCYng,745.66
DNVRng,LOSAng,1386.63
DNVRng,NYCMng,2606.31
DNVRng,SNVAng,1517.34
DNVRng,STTLng,1574.02
HSTNng,DNVRng,1142.57
HSTNng,CHINng,1080.15
HSTNng,ATLAng,1515.4
HSTNng,ATLAM5,1490.74
HSTNng,IPLSng,1400.7
HSTNng,KSCYng,1024.43
HSTNng,LOSAng,2196.97
HSTNng,NYCMng,2300.5
HSTNng,SNVAng,2591.48
HSTNng,STTLng,3029.86
IPLSng,HSTNng,687.73
IPLSng,DNVRng,588.96
IPLSng,CHINng,258.99
IPLSng,ATLAng,1603.14
IPLSng,ATLAM5,1400.7
IPLSng,KSCYng,903.45
IPLSng,LOSAng,2912.88
IPLSng,NYCMng,1042
IPLSng,SNVAng,3115.49
IPLSng,STTLng,3009.82
KSCYng,IPLSng,1237.9
KSCYng,HSTNng,1106.89
KSCYng,DNVRng,825.83
KSCYng,CHINng,745.66
KSCYng,ATLAng,1024.43
KSCYng,ATLAM5,903.45
KSCYng,LOSAng,2009.43
KSCYng,NYCMng,1941.15
KSCYng,SNVAng,2227.81
KSCYng,STTLng,2282.29
LOSAng,KSCYng,3118.08
LOSAng,IPLSng,3002.91
LOSAng,HSTNng,2810.57
LOSAng,DNVRng,1386.63
LOSAng,CHINng,2196.97
LOSAng,ATLAng,2912.88
LOSAng,ATLAM5,2009.43
LOSAng,NYCMng,3947.86
LOSAng,SNVAng,503.58
LOSAng,STTLng,1542.46
NYCMng,LOSAng,1207.97
NYCMng,KSCYng,1232.18
NYCMng,IPLSng,1147.78
NYCMng,HSTNng,2606.31
NYCMng,DNVRng,2300.5
NYCMng,CHINng,1042
NYCMng,ATLAng,1941.15
NYCMng,ATLAM5,3947.86
NYCMng,SNVAng,4123.25
NYCMng,STTLng,3872.57
SNVAng,NYCMng,3413.5
SNVAng,LOSAng,3290.64
SNVAng,KSCYng,2975.53
SNVAng,IPLSng,1517.34
SNVAng,HSTNng,2591.48
SNVAng,DNVRng,3115.49
SNVAng,CHINng,2227.81
SNVAng,ATLAng,503.58
SNVAng,ATLAM5,4123.25
SNVAng,STTLng,1134.85
STTLng,SNVAng,3509.74
STTLng,NYCMng,3377.39
STTLng,LOSAng,2796.8
STTLng,KSCYng,1574.02
STTLng,IPLSng,3029.86
STTLng,HSTNng,3009.82
STTLng,DNVRng,2282.29
STTLng,CHINng,1542.46
STTLng,ATLAng,3872.57
STTLng,ATLAM5,1134.85
